1 of 41 files violated regex and were excluded
1 of 41 files violated regex and were excluded
Accuracy: 

    iter   |    MAV    |     LS    |    SSC    |     WL    |     ZC    |    MFL    |    MSR    |    WAMP   |    RMS    |    IAV    |   DASDV   |     M0    |     M2    |     M4    |   SPARSI  |    IRF    |    WLF    |     AR    |     CC    |     LD    |   MAVFD   |   MAVSLP  |    MDF    |    MNF    |    MPK    |    SKEW   |    KURT   |    VAR    |    MNP    
     16    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |    99.8   |    99.9   |   100.0   |    99.9   |   100.0   |    99.8   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |    99.8   
     17    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   
     18    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.8   |   100.0   |    99.9   |   100.0   |   100.0   
     19    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   
     20    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |    99.9   |   100.0   |   100.0   |    99.9   |   100.0   |    99.7   |   100.0   |   100.0   
     21    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |    99.9   |    99.9   |   100.0   |   100.0   |   100.0   |    99.8   |   100.0   
     22    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |    99.9   |    99.9   |   100.0   |   100.0   |   100.0   |    99.9   
     23    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   
     24    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |    99.8   |   100.0   |    99.8   |   100.0   
     25    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |    99.9   
     26    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |    99.9   |   100.0   
     27    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |    99.9   |    99.9   
     28    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |    99.8   
